emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
👴,old man,People & Body,,old_man,U+1F474,inferred_coherent
👵,old woman,People & Body,,old_woman,U+1F475,inferred_coherent
🙍,person frowning,People & Body,,person_frowning,U+1F64D,inferred_coherent
🙍‍♂️,man frowning,People & Body,,man_frowning,U+1F64D U+200D U+2642 U+FE0F,inferred_coherent
🙍‍♀️,woman frowning,People & Body,,woman_frowning,U+1F64D U+200D U+2640 U+FE0F,inferred_coherent
🙎,person pouting,People & Body,,person_pouting,U+1F64E,inferred_coherent
🙎‍♂️,man pouting,People & Body,,man_pouting,U+1F64E U+200D U+2642 U+FE0F,inferred_coherent
🙎‍♀️,woman pouting,People & Body,,woman_pouting,U+1F64E U+200D U+2640 U+FE0F,inferred_coherent
🙅,person gesturing NO,People & Body,,person_gesturing_no,U+1F645,inferred_coherent
🙅‍♂️,man gesturing NO,People & Body,,man_gesturing_no,U+1F645 U+200D U+2642 U+FE0F,inferred_coherent
🙅‍♀️,woman gesturing NO,People & Body,,woman_gesturing_no,U+1F645 U+200D U+2640 U+FE0F,inferred_coherent
🙆,person gesturing OK,People & Body,,person_gesturing_ok,U+1F646,inferred_coherent
🙆‍♂️,man gesturing OK,People & Body,,man_gesturing_ok,U+1F646 U+200D U+2642 U+FE0F,inferred_coherent
🙆‍♀️,woman gesturing OK,People & Body,,woman_gesturing_ok,U+1F646 U+200D U+2640 U+FE0F,inferred_coherent
💁,person tipping hand,People & Body,,person_tipping_hand,U+1F481,inferred_coherent
💁‍♂️,man tipping hand,People & Body,,man_tipping_hand,U+1F481 U+200D U+2642 U+FE0F,inferred_coherent
💁‍♀️,woman tipping hand,People & Body,,woman_tipping_hand,U+1F481 U+200D U+2640 U+FE0F,inferred_coherent
🙋,person raising hand,People & Body,,person_raising_hand,U+1F64B,inferred_coherent
🙋‍♂️,man raising hand,People & Body,,man_raising_hand,U+1F64B U+200D U+2642 U+FE0F,inferred_coherent
🙋‍♀️,woman raising hand,People & Body,,woman_raising_hand,U+1F64B U+200D U+2640 U+FE0F,inferred_coherent
🧏,deaf person,People & Body,,deaf_person,U+1F9CF,inferred_coherent
🧏‍♂️,deaf man,People & Body,,deaf_man,U+1F9CF U+200D U+2642 U+FE0F,inferred_coherent
🧏‍♀️,deaf woman,People & Body,,deaf_woman,U+1F9CF U+200D U+2640 U+FE0F,inferred_coherent
🙇,person bowing,People & Body,,person_bowing,U+1F647,inferred_coherent
🙇‍♂️,man bowing,People & Body,,man_bowing,U+1F647 U+200D U+2642 U+FE0F,inferred_coherent
🙇‍♀️,woman bowing,People & Body,,woman_bowing,U+1F647 U+200D U+2640 U+FE0F,inferred_coherent
🤦,person facepalming,People & Body,,person_facepalming,U+1F926,inferred_coherent
🤦‍♂️,man facepalming,People & Body,,man_facepalming,U+1F926 U+200D U+2642 U+FE0F,inferred_coherent
🤦‍♀️,woman facepalming,People & Body,,woman_facepalming,U+1F926 U+200D U+2640 U+FE0F,inferred_coherent
🤷,person shrugging,People & Body,,person_shrugging,U+1F937,inferred_coherent
🤷‍♂️,man shrugging,People & Body,,man_shrugging,U+1F937 U+200D U+2642 U+FE0F,inferred_coherent
🤷‍♀️,woman shrugging,People & Body,,woman_shrugging,U+1F937 U+200D U+2640 U+FE0F,inferred_coherent
🧑‍⚕️,health worker,People & Body,,health_worker,U+1F9D1 U+200D U+2695 U+FE0F,inferred_coherent
👨‍⚕️,man health worker,People & Body,,man_health_worker,U+1F468 U+200D U+2695 U+FE0F,inferred_coherent
👩‍⚕️,woman health worker,People & Body,,woman_health_worker,U+1F469 U+200D U+2695 U+FE0F,inferred_coherent
🧑‍🎓,student,People & Body,,student,U+1F9D1 U+200D U+1F393,inferred_coherent
👨‍🎓,man student,People & Body,,man_student,U+1F468 U+200D U+1F393,inferred_coherent
👩‍🎓,woman student,People & Body,,woman_student,U+1F469 U+200D U+1F393,inferred_coherent
🧑‍🏫,teacher,People & Body,,teacher,U+1F9D1 U+200D U+1F3EB,inferred_coherent
👨‍🏫,man teacher,People & Body,,man_teacher,U+1F468 U+200D U+1F3EB,inferred_coherent
